depth_m,qc_MPa,fs_kPa,inclination_degree,s_wave_travel_time_ms,point_id,utm_x_m,utm_y_m,elevation_m,total_depth_m,water_depth_m,Rf_percent
0.4,1.3,14.0,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0769230769230769
0.5,1.0,11.0,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0999999999999999
0.6,1.5,17.0,0.0,,MYC004,612391,4085166,9.1,12.4,,1.1333333333333333
0.7,3.5,33.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.9428571428571428
0.8,4.7,47.0,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0
0.9,3.4,39.0,0.0,,MYC004,612391,4085166,9.1,12.4,,1.1470588235294117
1.0,2.2,32.0,0.0,,MYC004,612391,4085166,9.1,12.4,,1.4545454545454546
1.1,2.1,31.0,0.0,,MYC004,612391,4085166,9.1,12.4,,1.4761904761904763
1.2,2.2,24.0,0.0,,MYC004,612391,4085166,9.1,12.4,,1.090909090909091
1.3,1.8,23.5,0.0,,MYC004,612391,4085166,9.1,12.4,,1.3055555555555556
1.4,1.9,25.2,0.0,,MYC004,612391,4085166,9.1,12.4,,1.3263157894736841
1.5,1.2,30.2,0.0,,MYC004,612391,4085166,9.1,12.4,,2.5166666666666666
1.6,1.0,37.6,0.0,,MYC004,612391,4085166,9.1,12.4,,3.7600000000000002
1.7,2.7,27.6,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0222222222222224
1.8,2.0,25.5,0.0,,MYC004,612391,4085166,9.1,12.4,,1.275
1.9,1.8,25.5,0.0,,MYC004,612391,4085166,9.1,12.4,,1.4166666666666665
2.0,1.9,32.3,0.0,,MYC004,612391,4085166,9.1,12.4,,1.6999999999999997
2.1,1.5,16.8,0.0,,MYC004,612391,4085166,9.1,12.4,,1.1199999999999999
2.2,1.8,18.8,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0444444444444445
2.3,1.8,18.8,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0444444444444445
2.4,2.3,24.2,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0521739130434782
2.5,2.6,29.6,0.0,,MYC004,612391,4085166,9.1,12.4,,1.1384615384615386
2.6,2.8,32.3,0.0,,MYC004,612391,4085166,9.1,12.4,,1.1535714285714285
2.7,3.0,28.9,0.0,,MYC004,612391,4085166,9.1,12.4,,0.9633333333333333
2.8,3.7,38.6,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0432432432432432
2.9,4.4,46.0,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0454545454545454
3.0,3.5,42.3,0.0,,MYC004,612391,4085166,9.1,12.4,,1.2085714285714284
3.1,2.7,29.6,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0962962962962963
3.2,2.7,25.5,0.0,,MYC004,612391,4085166,9.1,12.4,,0.9444444444444444
3.3,2.3,20.8,0.0,,MYC004,612391,4085166,9.1,12.4,,0.9043478260869566
3.4,2.1,23.5,0.0,,MYC004,612391,4085166,9.1,12.4,,1.119047619047619
3.5,2.4,26.2,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0916666666666666
3.6,2.8,28.9,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0321428571428573
3.7,2.7,29.6,0.0,,MYC004,612391,4085166,9.1,12.4,,1.0962962962962963
3.8,2.2,28.2,0.0,,MYC004,612391,4085166,9.1,12.4,,1.2818181818181817
3.9,1.8,22.2,0.0,,MYC004,612391,4085166,9.1,12.4,,1.2333333333333334
4.0,2.3,29.2,0.0,,MYC004,612391,4085166,9.1,12.4,,1.2695652173913043
4.1,6.0,50.1,0.0,,MYC004,612391,4085166,9.1,12.4,,0.835
4.2,7.6,70.9,0.0,,MYC004,612391,4085166,9.1,12.4,,0.9328947368421053
4.3,5.2,43.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.826923076923077
4.4,4.5,31.6,0.0,,MYC004,612391,4085166,9.1,12.4,,0.7022222222222222
4.5,4.9,40.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.8163265306122449
4.6,4.5,32.9,0.0,,MYC004,612391,4085166,9.1,12.4,,0.7311111111111112
4.7,5.4,37.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6851851851851852
4.8,6.1,42.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6885245901639345
4.9,7.4,52.1,0.0,,MYC004,612391,4085166,9.1,12.4,,0.7040540540540541
5.0,6.9,44.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6376811594202898
5.1,7.1,46.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.647887323943662
5.2,6.4,44.7,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6984375
5.3,3.9,20.8,0.0,,MYC004,612391,4085166,9.1,12.4,,0.5333333333333333
5.4,2.6,14.1,0.0,,MYC004,612391,4085166,9.1,12.4,,0.5423076923076923
5.5,3.1,16.1,0.0,,MYC004,612391,4085166,9.1,12.4,,0.5193548387096775
5.6,3.4,22.2,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6529411764705882
5.7,3.4,22.2,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6529411764705882
5.8,3.7,25.5,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6891891891891891
5.9,3.6,26.2,0.0,,MYC004,612391,4085166,9.1,12.4,,0.7277777777777777
6.0,4.3,20.8,0.0,,MYC004,612391,4085166,9.1,12.4,,0.48372093023255813
6.1,5.3,36.6,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6905660377358491
6.2,4.9,32.6,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6653061224489797
6.3,4.3,26.2,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6093023255813954
6.4,4.2,24.2,0.0,,MYC004,612391,4085166,9.1,12.4,,0.5761904761904761
6.5,4.5,29.9,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6644444444444444
6.6,5.1,34.3,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6725490196078431
6.7,5.8,40.3,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6948275862068966
6.8,5.7,45.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.7894736842105263
6.9,5.8,42.7,0.0,,MYC004,612391,4085166,9.1,12.4,,0.7362068965517242
7.0,5.8,37.3,0.0,,MYC004,612391,4085166,9.1,12.4,,0.643103448275862
7.1,6.0,39.7,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6616666666666667
7.2,5.8,40.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6896551724137931
7.3,5.8,33.6,0.0,,MYC004,612391,4085166,9.1,12.4,,0.5793103448275863
7.4,6.5,44.4,0.0,,MYC004,612391,4085166,9.1,12.4,,0.683076923076923
7.5,7.4,50.7,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6851351351351352
7.6,8.0,60.5,0.0,,MYC004,612391,4085166,9.1,12.4,,0.75625
7.7,6.3,41.3,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6555555555555554
7.8,4.6,14.8,0.0,,MYC004,612391,4085166,9.1,12.4,,0.32173913043478264
7.9,3.8,13.4,0.0,,MYC004,612391,4085166,9.1,12.4,,0.3526315789473684
8.0,3.2,31.9,0.0,,MYC004,612391,4085166,9.1,12.4,,0.9968750000000001
8.1,6.1,32.6,0.0,,MYC004,612391,4085166,9.1,12.4,,0.5344262295081967
8.2,7.1,34.6,0.0,,MYC004,612391,4085166,9.1,12.4,,0.48732394366197185
8.3,7.1,30.2,0.0,,MYC004,612391,4085166,9.1,12.4,,0.4253521126760563
8.4,7.1,41.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.5774647887323944
8.5,6.3,40.0,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6349206349206349
8.6,4.0,26.2,0.0,,MYC004,612391,4085166,9.1,12.4,,0.6549999999999999
8.7,2.5,35.3,0.0,,MYC004,612391,4085166,9.1,12.4,,1.412
8.8,2.8,22.5,0.0,,MYC004,612391,4085166,9.1,12.4,,0.8035714285714285
8.9,3.3,50.4,0.0,,MYC004,612391,4085166,9.1,12.4,,1.5272727272727273
9.0,8.2,75.6,0.0,,MYC004,612391,4085166,9.1,12.4,,0.921951219512195
